,population,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,relaxation_time,door_size
195,,195,100.0,27.59,3.7037037037037037,13.478700000000002,6.7790958628102995,0.81,
196,,196,100.0,31.740000000000002,3.2427120864723222,13.045,7.753905174461799,0.81,
197,,197,100.0,29.02,3.5598705501618126,13.421600000000003,7.033590792358014,0.81,
198,,198,100.0,27.32,3.661242603550296,12.873299999999999,7.288387062285934,0.81,
199,,199,100.0,30.310000000000002,3.402061855670103,13.106999999999998,7.229887812253921,0.81,
0,,0,83.0,99.5,0.8394758394758394,51.374216867469876,29.556392363787417,,0.6
1,,1,59.0,99.01,0.5933503836317136,43.26966101694916,31.620711510572203,,0.6
2,,2,72.0,97.45,0.7338501291989664,53.300972222222214,33.25112287248218,,0.6
3,,3,80.0,96.63,0.8298319327731093,51.72112500000001,32.20652701336576,,0.6
4,,4,86.0,89.48,0.9704304144308711,51.4024418604651,26.475468242753532,,0.6
5,,5,60.0,99.10000000000001,0.606060606060606,45.9405,33.234144960735584,,0.6
6,,6,74.0,99.67,0.7511060808725177,54.959054054054064,25.085867940452157,,0.6
7,,7,66.0,98.53,0.6698959084819128,57.38848484848485,29.783773602025146,,0.6
8,,8,81.0,99.87,0.8146639511201629,48.13950617283951,31.39377939581481,,0.6
9,,9,70.0,89.76,0.7689735874289535,47.40171428571429,30.068395944908552,,0.6
10,,10,98.0,75.06,1.3173977998098603,32.71714285714286,19.177125119137422,,0.7105263157894737
11,,11,99.0,66.4,1.5007656967840732,32.58929292929293,19.161704541181116,,0.7105263157894737
12,,12,98.0,63.81,1.539438184415172,27.160102040816327,18.500670731496562,,0.7105263157894737
13,,13,98.0,46.19,2.1230028452615453,22.42030612244898,13.124038105475872,,0.7105263157894737
14,,14,99.0,63.07,1.5737915529147262,32.08141414141414,18.37176160607388,,0.7105263157894737
15,,15,98.0,59.08,1.6741456679323439,29.851836734693883,15.60181263239527,,0.7105263157894737
16,,16,98.0,74.49,1.327312534209086,44.25959183673469,20.528964999614487,,0.7105263157894737
17,,17,99.0,70.59,1.401000714796283,37.73828282828283,19.937547903616125,,0.7105263157894737
18,,18,98.0,60.67,1.6253351206434317,30.62714285714286,17.06853232929793,,0.7105263157894737
19,,19,98.0,57.7,1.720468251152891,31.10806122448979,15.229681252336153,,0.7105263157894737
20,,20,100.0,47.65,2.1050393365936637,22.7324,12.993918089365168,,0.8210526315789474
21,,21,100.0,38.59,2.618354932557524,18.6825,9.240870501541652,,0.8210526315789474
22,,22,100.0,39.2,2.5929806181246726,17.258200000000002,10.39274711935534,,0.8210526315789474
23,,23,100.0,44.85,2.2317403065825068,22.403500000000005,11.962267983247587,,0.8210526315789474
24,,24,100.0,42.03,2.384393063583815,19.8092,11.019465575778057,,0.8210526315789474
25,,25,100.0,44.550000000000004,2.276908923643054,22.641300000000005,12.526509800733754,,0.8210526315789474
26,,26,100.0,46.4,2.1810971579643095,22.533499999999993,12.73507114708089,,0.8210526315789474
27,,27,100.0,34.19,2.9855247285886612,16.9173,8.767513135191619,,0.8210526315789474
28,,28,100.0,38.04,2.675675675675676,18.5168,9.311707834112859,,0.8210526315789474
29,,29,100.0,41.12,2.45596626147358,20.32,11.766515837302686,,0.8210526315789474
30,,30,100.0,29.18,3.5031847133757963,13.681000000000001,7.735743289589195,,0.9315789473684211
31,,31,100.0,25.990000000000002,3.9192399049881232,11.882999999999997,6.858074427161377,,0.9315789473684211
32,,32,100.0,26.11,3.856641994546163,11.173699999999998,6.61520480836124,,0.9315789473684211
33,,33,100.0,25.900000000000002,3.9679358717434865,11.901700000000003,6.328207184639041,,0.9315789473684211
34,,34,100.0,28.38,3.4896016919280934,13.954200000000004,7.6750361667953175,,0.9315789473684211
35,,35,100.0,29.39,3.454291695743196,14.704100000000004,7.912749090658515,,0.9315789473684211
36,,36,100.0,27.67,3.6531365313653135,13.095,7.072423255650832,,0.9315789473684211
37,,37,100.0,30.47,3.3310901749663526,14.011600000000001,7.905226594801158,,0.9315789473684211
38,,38,100.0,28.61,3.5118836466832213,13.681600000000001,7.7789292867646544,,0.9315789473684211
39,,39,100.0,28.080000000000002,3.676197549201633,13.877099999999999,7.14004502928392,,0.9315789473684211
40,,40,100.0,23.37,4.394141145139813,10.9223,5.841282178156478,,1.0421052631578949
41,,41,100.0,21.91,4.678638941398866,10.719700000000003,5.630878872679457,,1.0421052631578949
42,,42,100.0,23.95,4.2894280762565,11.4617,6.6374138591302065,,1.0421052631578949
43,,43,100.0,22.17,4.547542489664676,10.206600000000002,5.8285970763802055,,1.0421052631578949
44,,44,100.0,19.97,5.118924508790072,9.7783,5.060418806279722,,1.0421052631578949
45,,45,100.0,24.68,4.256233877901978,11.894400000000001,6.327239224339491,,1.0421052631578949
46,,46,100.0,22.990000000000002,4.467509025270758,10.2763,5.769866279108024,,1.0421052631578949
47,,47,100.0,23.1,4.413731609451627,10.4506,5.560719163576022,,1.0421052631578949
48,,48,100.0,22.86,4.526748971193415,10.08,5.712627338721747,,1.0421052631578949
49,,49,100.0,21.79,4.545454545454546,10.0397,5.784906249294911,,1.0421052631578949
50,,50,100.0,20.47,4.932735426008969,9.5556,5.190293450375432,,1.1526315789473685
51,,51,100.0,22.64,4.576976421636616,10.3247,5.685043189871743,,1.1526315789473685
